Term,Definition
🏛️ Nation states,"Government-sponsored threat actors - Highly sophisticated - Well-funded and organized - Motivations: espionage, data exfiltration, disruption"
🎮 Unskilled attackers,"Script kiddies - Limited technical knowledge - Use pre-built tools - Motivations: curiosity, recognition"
✊ Hacktivists,"Politically or socially motivated - Target organizations for ideological reasons - Public awareness campaigns - Defacement and data leaks"
🚪 Insider threats,"Internal employees or contractors - Authorized access to systems - Motivations: revenge, financial gain, negligence - Most difficult to detect"
💰 Organized crime,"Professional cybercriminals - Financial motivation - Ransomware, fraud, theft - Well-organized and funded"
👻 Shadow IT,"Unauthorized systems and applications - Employees bypassing IT controls - Security risks from unmanaged resources"
🔄 Internal vs. external,"Inside the organization vs. outside attackers"
💵 Resources and funding,"Level of financial backing - Access to tools and infrastructure"
🎯 Level of sophistication,"Technical capabilities - Attack complexity"
🧠 Intent and motivation,"Data exfiltration - Service disruption - Financial gain - Philosophical/political reasons - Revenge - War/espionage"
🌐 Open-source intelligence (OSINT),"Publicly available information - Social media, forums, websites - No special access required"
🔒 Closed/proprietary intelligence,"Commercial threat feeds - Paid subscription services - Specialized vendors"
📚 Vulnerability databases,"CVE (Common Vulnerabilities and Exposures) - NVD (National Vulnerability Database) - Vendor advisories"
🤝 Information sharing organizations,"ISACs (Information Sharing and Analysis Centers) - Industry-specific collaboration - Government partnerships"
🕵️ Dark web,"Underground forums - Criminal marketplaces - Credential dumps and exploits"
🎯 Strategic intelligence,"High-level trends and risks - Long-term planning - Executive decision-making"
🛠️ Tactical intelligence,"TTPs (Tactics, Techniques, and Procedures) - Attacker behaviors - Operational defense"
⚡ Operational intelligence,"Specific campaigns and threats - Real-time information - Incident response"
📧 Message-based,"Email attachments - Malicious links - SMS/text messages"
🖼️ Image-based,"Steganography - Malicious image files - SVG exploits"
📄 File-based,"Office documents with macros - PDF exploits - Zip files with malware"
📞 Voice calls,"Vishing (voice phishing) - Social engineering via phone - Caller ID spoofing"
💾 Removable devices,"USB drives - External hard drives - SD cards with malware"
📡 Unsecured networks,"Open Wi-Fi - Rogue access points - Man-in-the-middle attacks"
🔑 Default credentials,"Unchanged passwords - Factory defaults - Common admin accounts"
🔗 Supply chain,"Third-party vendors - Software dependencies - Hardware tampering"
🚪 Open service ports,"Unnecessary services running - Unpatched vulnerabilities - Network exposure"
⚙️ Weak configurations,"Permissive firewall rules - Insecure protocols - Missing security controls"
🎣 Email phishing,"Mass emails to many targets - Generic messages - Fake login pages"
🎯 Spear phishing,"Targeted at specific individuals - Personalized content - Research on victims"
🐋 Whaling,"Target high-level executives - CEO fraud - Business email compromise (BEC)"
📞 Vishing,"Voice phishing via phone calls - Pretending to be IT support - Urgency and pressure tactics"
📱 Smishing,"SMS/text message phishing - Malicious links - Fake alerts and notifications"
🎭 Pretexting,"Creating fabricated scenario - Building trust with victim - Information gathering"
⌨️ Typosquatting,"Similar-looking domain names - Common typos in URLs - Fake websites"
📨 Prepending,"Adding familiar terms to subject - RE: or FWD: in subject lines - Appears as reply to conversation"
🏢 Brand impersonation,"Fake company websites - Spoofed logos and branding - Trusted company names"
👤 Identity fraud,"Stealing someone's identity - Using credentials - Posing as employees"
💸 Invoice scams,"Fake invoices - Wire transfer fraud - Vendor impersonation"
🔓 Credential harvesting,"Fake login pages - Collecting usernames and passwords - Account takeover"
💧 Watering hole attack,"Target websites frequented by victims - Compromise legitimate sites - Wait for victims to visit"
🦠 Infection process,"Drive-by downloads - Browser exploits - Malware deployment"
🛡️ Watering hole defense,"Keep browsers updated - Use security software - Restrict browsing"
📰 Misinformation and disinformation,"False information spread - Propaganda campaigns - Fake news"
💼 Business email compromise (BEC),"Compromised email accounts - Fraudulent wire transfers - Executive impersonation"
🚶 Tailgating,"Following authorized person - Physical access without credentials - Piggybacking"
🗑️ Dumpster diving,"Searching trash for information - Discarded documents - Hardware disposal"
👀 Shoulder surfing,"Watching over someone's shoulder - Observing passwords and PINs - Public spaces"
🔄 Unpatched systems,"Missing security updates - Known vulnerabilities - Exploit availability"
⚙️ Default settings,"Unchanged configurations - Open permissions - Unnecessary services"
⬆️ Privilege escalation,"Gaining higher access levels - Exploiting OS flaws - Root/admin access"
🎯 Zero-day,"Unknown to vendor - No patch available - High-value targets - Actively exploited"
⚡ Zero-day characteristics,"Limited detection - Valuable to attackers"
🛡️ Zero-day response,"Virtual patching - IPS signatures - Workarounds and mitigations"
💿 Firmware vulnerabilities,"BIOS/UEFI exploits - Persistent malware - Difficult to detect and remove"
⏳ End-of-life (EOL),"No more security updates - Legacy systems - Unsupported hardware"
🏛️ Legacy platforms,"Outdated technology - Compatibility issues - Security gaps"
